STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE.1,SOURCE.1,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,WindEquipmentChangeDate,DATE_ONLY,TIME_OF_DAY
72785024157,2023-01-01 23:59:00,SOD,6,,W,0.75,mi,"TEMP, PRECIP, SNOW",2353.0,,"MXMN, SGR, SNOWBOARD, SNOWSTICK",47.6269,-117.5369,CONTRACTOR,,,,,,30.0,32,89.0,30.09,27.55,31.0,1.9,0,4.7,33,35,29,200,8,0.00,7,0.0,210.0,7.0,FG BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD78324 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):7     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):1  24 HR MAX TEMP (F): 3524 HR MIN TEMP (F): 29AVERAGE STATION PRESSURE:27.555 MINIMUM SEA LEVEL PRESSURE:29.97 TIME OF OCCURRENCE:0039 PEAK WIND SPEED (MPH):  8 PEAK WIND DIR (DEG):200 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH):  7FASTEST 2MIN DIR (DEG):210 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 1.9 24 HR AVG TEMP (F): 32DEPART FROM NORMAL:  4  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 33 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):35  LATEST NIGHT MIN TEMP(1900-0800 LST):33 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,739.0,1609.0,2007-06-14,2023-01-01,23:59:00
72785024157,2023-01-02 23:59:00,SOD,6,,W,0.75,mi,"TEMP, PRECIP, SNOW",2353.0,,"MXMN, SGR, SNOWBOARD, SNOWSTICK",47.6269,-117.5369,CONTRACTOR,,,,,,25.0,26,85.0,29.94,27.4,27.0,3.1,0,-1.4,39,33,19,090,12,0.00,6,0.0,90.0,9.0,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD75724 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):6     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):12  24 HR MAX TEMP (F): 3324 HR MIN TEMP (F): 19AVERAGE STATION PRESSURE:27.400 MINIMUM SEA LEVEL PRESSURE:29.84 TIME OF OCCURRENCE:1608 PEAK WIND SPEED (MPH): 12 PEAK WIND DIR (DEG): 90 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH):  9FASTEST 2MIN DIR (DEG): 90 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 3.1 24 HR AVG TEMP (F): 26DEPART FROM NORMAL: -2  HEATING DEGREE DAYS: 39 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):33  LATEST NIGHT MIN TEMP(1900-0800 LST):29 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,739.0,1610.0,2007-06-14,2023-01-02,23:59:00
72785024157,2023-01-03 23:59:00,SOD,6,,W,0.75,mi,"TEMP, PRECIP, SNOW",2353.0,,"MXMN, SGR, SNOWBOARD, SNOWSTICK",47.6269,-117.5369,CONTRACTOR,,,,,,24.0,27,88.0,29.97,27.44,26.0,3.0,0,-0.6,38,29,25,190,12,0.00,6,0.0,200.0,9.0,FZFG BR FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD78424 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):6     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):12  24 HR MAX TEMP (F): 2924 HR MIN TEMP (F): 25AVERAGE STATION PRESSURE:27.435 MINIMUM SEA LEVEL PRESSURE:29.87 TIME OF OCCURRENCE:0127 PEAK WIND SPEED (MPH): 12 PEAK WIND DIR (DEG):190 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH):  9FASTEST 2MIN DIR (DEG):200 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 3.0 24 HR AVG TEMP (F): 27DEPART FROM NORMAL: -1  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 38 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):29  LATEST NIGHT MIN TEMP(1900-0800 LST):19 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,739.0,1611.0,2007-06-14,2023-01-03,23:59:00
72785024157,2023-01-04 23:59:00,SOD,6,,W,0.75,mi,"TEMP, PRECIP, SNOW",2353.0,,"MXMN, SGR, SNOWBOARD, SNOWSTICK",47.6269,-117.5369,CONTRACTOR,,,,,,24.0,30,79.0,30.06,27.52,27.0,9.3,0,2.3,35,35,25,040,18,0.00,6,0.0,50.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):6     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 3524 HR MIN TEMP (F): 25AVERAGE STATION PRESSURE:27.515 MINIMUM SEA LEVEL PRESSURE:29.88 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 18 PEAK WIND DIR (DEG): 40 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG): 50 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 9.3 24 HR AVG TEMP (F): 30DEPART FROM NORMAL:  2  HEATING DEGREE DAYS: 35 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):35  LATEST NIGHT MIN TEMP(1900-0800 LST):26 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,738.0,1612.0,2007-06-14,2023-01-04,23:59:00
72785024157,2023-01-05 23:59:00,SOD,6,,W,0.75,mi,"TEMP, PRECIP, SNOW",2353.0,,"MXMN, SGR, SNOWBOARD, SNOWSTICK",47.6269,-117.5369,CONTRACTOR,,,,,,25.0,34,68.0,29.83,27.32,31.0,11.6,0,6.1,31,37,31,070,28,T,6,T,70.0,22.0,RA SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73624 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):6     24 HR SNOWFALL (IN):T    24 HR MAX TEMP (F): 3724 HR MIN TEMP (F): 31AVERAGE STATION PRESSURE:27.320 MINIMUM SEA LEVEL PRESSURE:29.77 TIME OF OCCURRENCE:1248 PEAK WIND SPEED (MPH): 28 PEAK WIND DIR (DEG): 70 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 22FASTEST 2MIN DIR (DEG): 70 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):11.6 24 HR AVG TEMP (F): 34DEPART FROM NORMAL:  6  HEATING DEGREE DAYS: 31 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):37  LATEST NIGHT MIN TEMP(1900-0800 LST):29 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 T    T    T    0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,738.0,1613.0,2007-06-14,2023-01-05,23:59:00
72785024157,2023-01-06 23:59:00,SOD,6,,W,0.75,mi,"TEMP, PRECIP, SNOW",2353.0,,"MXMN, SGR, SNOWBOARD, SNOWSTICK",47.6269,-117.5369,CONTRACTOR,,,,,,31.0,37,83.0,30.11,27.59,33.0,4.2,0,8.9,28,43,31,050,12,T,6,T,60.0,10.0,SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73924 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):6     24 HR SNOWFALL (IN):T    24 HR MAX TEMP (F): 4324 HR MIN TEMP (F): 31AVERAGE STATION PRESSURE:27.590 MINIMUM SEA LEVEL PRESSURE:29.95 TIME OF OCCURRENCE:0035 PEAK WIND SPEED (MPH): 12 PEAK WIND DIR (DEG): 50 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 10FASTEST 2MIN DIR (DEG): 60 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 4.2 24 HR AVG TEMP (F): 37DEPART FROM NORMAL:  8  HEATING DEGREE DAYS: 28 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):43  LATEST NIGHT MIN TEMP(1900-0800 LST):32 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):    0.00 0.00 T    0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,738.0,1615.0,2007-06-14,2023-01-06,23:59:00
72785024157,2023-01-07 23:59:00,SOD,6,,W,0.75,mi,"TEMP, PRECIP, SNOW",2353.0,,"MXMN, SGR, SNOWBOARD, SNOWSTICK",47.6269,-117.5369,CONTRACTOR,,,,,,30.0,37,80.0,30.04,27.52,34.0,6.9,0,8.8,28,42,32,060,14,T,6,0.0,70.0,10.0,RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73924 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):6     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 4224 HR MIN TEMP (F): 32AVERAGE STATION PRESSURE:27.520 MINIMUM SEA LEVEL PRESSURE:29.88 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 14 PEAK WIND DIR (DEG): 60 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 10FASTEST 2MIN DIR (DEG): 70 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.9 24 HR AVG TEMP (F): 37DEPART FROM NORMAL:  8  HEATING DEGREE DAYS: 28 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):42  LATEST NIGHT MIN TEMP(1900-0800 LST):32 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    T    T    0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,738.0,1616.0,2007-06-14,2023-01-07,23:59:00
72785024157,2023-01-08 23:59:00,SOD,6,,W,0.75,mi,"TEMP, PRECIP, SNOW",2353.0,,"MXMN, SGR, SNOWBOARD, SNOWSTICK",47.6269,-117.5369,CONTRACTOR,,,,,,33.0,37,87.0,29.82,27.32,36.0,8.0,0,8.6,28,40,34,200,22,0.21,6,0.0,200.0,17.0,RA BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD78324 HR PRECIPITATION (IN): 0.21 SNOW DEPTH (IN):6     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):1  24 HR MAX TEMP (F): 4024 HR MIN TEMP (F): 34AVERAGE STATION PRESSURE:27.320 MINIMUM SEA LEVEL PRESSURE:29.75 TIME OF OCCURRENCE:1354 PEAK WIND SPEED (MPH): 22 PEAK WIND DIR (DEG):200 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 17FASTEST 2MIN DIR (DEG):200 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 8.0 24 HR AVG TEMP (F): 37DEPART FROM NORMAL:  8  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 28 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):40  LATEST NIGHT MIN TEMP(1900-0800 LST):35 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 T    T    T    T    T    0.00 0.00 0.00 T    0.04 0.02 0.03 T    0.09 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,737.0,1617.0,2007-06-14,2023-01-08,23:59:00
72785024157,2023-01-09 23:59:00,SOD,6,,W,0.75,mi,"TEMP, PRECIP, SNOW",2353.0,,"MXMN, SGR, SNOWBOARD, SNOWSTICK",47.6269,-117.5369,CONTRACTOR,,,,,,32.0,34,93.0,29.77,27.25,34.0,7.5,0,5.4,31,38,30,150,17,0.25,5,T,70.0,14.0,RA SN FG FZFG BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD76124 HR PRECIPITATION (IN): 0.25 SNOW DEPTH (IN):5     24 HR SNOWFALL (IN):T    WEATHER(CODE):12  24 HR MAX TEMP (F): 3824 HR MIN TEMP (F): 30AVERAGE STATION PRESSURE(D):27.250 MINIMUM SEA LEVEL PRESSURE:29.64 TIME OF OCCURRENCE:1152 PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG):150 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 14FASTEST 2MIN DIR (DEG): 70 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.5 24 HR AVG TEMP (F): 34DEPART FROM NORMAL:  5  HEATING DEGREE DAYS: 31 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST): 38 LATEST NIGHT MIN TEMP(1900-0800 LST):30 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00T     0.08 0.03 0.03 0.06 0.02 0.02 0.01T     0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,737.0,1618.0,2007-06-14,2023-01-09,23:59:00
72785024157,2023-01-10 23:59:00,SOD,6,,W,0.75,mi,"TEMP, PRECIP, SNOW",2353.0,,"MXMN, SGR, SNOWBOARD, SNOWSTICK",47.6269,-117.5369,CONTRACTOR,,,,,,32.0,32,98.0,29.8,27.29,33.0,6.5,0,3.2,33,35,29,050,14,0.00,4,0.0,40.0,13.0,FG FZFG BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD75724 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):4     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):12  24 HR MAX TEMP (F): 3524 HR MIN TEMP (F): 29AVERAGE STATION PRESSURE:27.285 MINIMUM SEA LEVEL PRESSURE:29.75 TIME OF OCCURRENCE:1929 PEAK WIND SPEED (MPH): 14 PEAK WIND DIR (DEG): 50 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 13FASTEST 2MIN DIR (DEG): 40 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.5 24 HR AVG TEMP (F): 32DEPART FROM NORMAL:  3  HEATING DEGREE DAYS: 33 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):35  LATEST NIGHT MIN TEMP(1900-0800 LST):31 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,737.0,1619.0,2007-06-14,2023-01-10,23:59:00
