DATE,STATION,DailyAltimeterSetting,DailyDewPointTemperature,DailyDryBulbTemperature,DailyPrecipitation,DailyPresentWeatherType,DailyPressureChange,DailyPressureTendency,DailyRelativeHumidity,DailySeaLevelPressure,DailySkyConditions,DailyStationPressure,DailyVisibility,DailyWetBulbTemperature,DailyWindDirection,DailyWindGustSpeed,DailyWindSpeed
2023-01-01,72027294282,30.14,43.0,43.0,0.01,BR:1 ||,,,98.38888888888889,,CLR:00,29.91,10.0,41.18055555555556,0,*,2.1666666666666665
2023-01-02,72027294282,29.68,36.0,37.0,0.01,FG:2 |FG |,,,82.93055555555556,,CLR:00,29.52,10.0,36.638888888888886,0,*,4.208333333333333
2023-01-03,72027294282,29.86,36.0,39.0,0.01,BR:1 ||,,,82.5,,OVC:08 23,29.7,10.0,37.90277777777778,50,*,6.430555555555555
2023-01-04,72027294282,29.91,30.0,50.0,0.01,BR:1 ||,,,59.958333333333336,,CLR:00,29.75,10.0,38.59722222222222,70,20,11.73611111111111
2023-01-05,72027294282,29.45,37.0,52.0,0.01,BR:1 ||,,,56.05555555555556,,CLR:00,29.28,10.0,46.5,70,22,12.333333333333334
2023-01-06,72027294282,29.94,45.0,48.0,0.01,BR:1 ||,,,73.58333333333333,,CLR:00,29.78,10.0,46.375,160,16,9.732394366197184
2023-01-07,72027294282,29.95,45.0,46.0,0.0171428571428571,BR:1 ||,,,90.33333333333331,,OVC:08 46,29.79,10.0,46.18055555555556,0,*,6.361111111111111
2023-01-08,72027294282,29.55,45.0,48.0,0.02,BR:1 ||,,,86.59722222222223,,CLR:00,29.44,10.0,44.625,0,18,8.73611111111111
2023-01-09,72027294282,29.41,41.0,45.0,0.0166666666666666,BR:1 ||,,,77.72222222222223,,CLR:00,29.26,10.0,44.34722222222222,70,22,13.65277777777778
2023-01-10,72027294282,29.68,43.0,45.0,0.04,BR:1 ||,,,83.85915492957747,,CLR:00,29.52,10.0,44.352112676056336,50,18,9.112676056338028
