DATE,STATION,DailyAltimeterSetting,DailyDewPointTemperature,DailyDryBulbTemperature,DailyPrecipitation,DailyPresentWeatherType,DailyPressureChange,DailyPressureTendency,DailyRelativeHumidity,DailySeaLevelPressure,DailySkyConditions,DailyStationPressure,DailyVisibility,DailyWetBulbTemperature,DailyWindDirection,DailyWindGustSpeed,DailyWindSpeed
2023-01-01,72781524237.0,29.99704918032787,28.0,30.0,T,FZ:8 FG:2 |FG |,-0.0037499999999999,4.125,92.0,30.0625,VV:09 2,25.93983606557378,10,29.0,VRB,21.0,2.796610169491525
2023-01-02,72781524237.0,29.73539682539683,20.0,23.0,T,BR:1 ||,0.02625,6.375,88.0,29.84916666666665,OVC:08 2,25.70920634920636,1.50V,22.0,VRB,21.0,5.333333333333333
2023-01-03,72781524237.0,29.784698795180724,20.0,28.0,T,HZ:7 |FU |HZ,-0.01875,2.875,72.0,29.86875000000001,OVC:08 2,25.750481927710847,10,25.0,VRB,21.0,2.828125
2023-01-04,72781524237.0,29.79820512820513,20.0,31.0,T,HZ:7 |FU |HZ,0.02,5.125,72.0,29.86391304347826,OVC:08 2,25.76239316239316,0.75,25.0,VRB,21.0,4.863636363636363
2023-01-05,72781524237.0,29.60899999999999,28.0,34.0,T,-SN:03 |SN |,-0.0124999999999999,4.75,70.0,29.676666666666662,OVC:08 2,25.594166666666663,10,33.0,VRB,21.0,3.756756756756757
2023-01-06,72781524237.0,29.9525,31.0,37.0,T,HZ:7 |FU |HZ,-0.01875,3.25,79.0,29.995833333333337,OVC:08 2,25.900978260869568,10,34.0,0,21.0,1.4057971014492754
2023-01-07,72781524237.0,29.840508474576275,29.0,37.0,T,HZ:7 |FU |HZ s,0.03,6.75,76.0,29.86041666666667,VV:09 1,25.801016949152547,0.25,34.0,VRB,21.0,3.066666666666667
2023-01-08,72781524237.0,29.683663366336635,30.0,37.0,T,HZ:7 |FU |HZ,-0.005,3.625,79.0,29.690416666666675,VV:09 2,25.66089108910892,0.25,34.0,0,21.0,0.7934782608695652
2023-01-09,72781524237.0,29.58214953271028,28.0,36.0,T,HZ:7 |FU |HZ,0.0257142857142857,5.428571428571429,76.0,29.621250000000003,VV:09 2,25.571121495327105,0.5,32.0,VRB,21.0,2.084507042253521
2023-01-10,72781524237.0,29.645140186915885,28.0,35.0,T,HZ:7 |FU |HZ,-0.0075,3.5,76.0,29.694347826086958,VV:09 2,25.62490566037736,0.5,32.0,0,21.0,1.6341463414634143
2023-01-11,72781524237.0,29.83951612903227,29.0,35.0,T,HZ:7 |FU |HZ s,-0.0249999999999999,2.625,76.0,29.91291666666667,VV:09 2,25.798709677419343,0.25,33.0,0,21.0,1.973684210526316
2023-01-12,72781524237.0,29.939285714285717,32.0,37.0,T,HZ:7 |FU |HZ s,-0.0025,4.625,76.0,29.986666666666668,VV:09 2,25.888035714285717,0.25,34.0,VRB,21.0,4.2727272727272725
2023-01-13,72781524237.0,29.731274509803924,33.0,40.0,T,HZ:7 |FU |HZ s,0.03,7.428571428571429,79.0,29.77782608695652,VV:09 2,25.704215686274512,0.25,36.0,0,21.0,1.3544303797468351
2023-01-14,72781524237.0,29.502808988764045,32.0,39.0,0.01,HZ:7 |FU |HZ s,0.03375,7.0,79.0,29.48,VV:09 2,25.497977528089883,0.25,36.0,0,21.0,1.2394366197183098
2023-01-15,72781524237.0,29.305294117647065,31.0,39.0,0.01,HZ:7 s |FU |HZ s,0.0133333333333333,7.333333333333333,73.0,29.31625,VV:09 1,25.325294117647054,0.25s,36.0,VRB,21.0,2.230769230769231
2023-01-16,72781524237.0,29.8689552238806,29.0,35.0,0.01,HZ:7 |FU |HZ,-0.006,4.6,76.0,29.904705882352943,OVC:08 2,25.828955223880595,10,33.0,0,21.0,1.2857142857142858
2023-01-17,72781524237.0,29.8689552238806,29.0,35.0,0.01,HZ:7 |FU |HZ,-0.006,4.6,76.0,29.904705882352943,OVC:08 2,25.828955223880595,10,33.0,0,21.0,1.2857142857142858
2023-01-18,72781524237.0,29.80929824561404,27.0,36.0,T,+SN:03 |SN s |,-0.00625,4.875,67.0,29.84833333333333,VV:09 1,25.772105263157897,0.25,32.0,VRB,21.0,3.238095238095238
2023-01-19,72781524237.0,30.235268817204304,25.0,34.0,0.01,HZ:7 |FU |HZ,-0.036,1.4,67.0,30.268666666666665,VV:09 2,26.14924731182795,0.5,30.0,VRB,20.0,4.090909090909091
2023-01-20,72781524237.0,30.3395238095238,23.0,33.0,0.01,HZ:7 |FU |HZ,-0.0028571428571428,2.4285714285714284,66.0,30.40545454545454,OVC:08 3,26.23463414634146,10,29.0,VRB,20.0,4.317460317460317
2023-01-21,72781524237.0,30.09011111111112,20.0,27.0,0.01,-SN:03 |SN |,0.0228571428571428,4.428571428571429,75.0,30.193333333333342,2,25.96829268292683,0.5,25.0,VRB,20.0,2.954022988505747
2023-01-22,72781524237.0,30.265859375,24.0,34.0,T,HZ:7 |FU |HZ,-0.0385714285714285,2.2857142857142856,64.0,30.34478260869565,VV:09 2,26.17454545454545,10,30.0,VRB,21.285714285714285,4.644628099173554
2023-01-23,72781524237.0,30.342173913043474,26.0,37.0,T,HZ:7 |FU |HZ s,0.0012499999999999,4.625,65.0,30.405,VV:09 2,26.243623188405792,0.25,34.0,VRB,21.5,5.288135593220339
2023-01-24,72781524237.0,30.436153846153847,30.0,39.0,0.01,HZ:7 |FU |HZ s,-0.0114285714285714,0.7142857142857143,70.0,30.48565217391304,VV:09 2,26.32923076923077,0.25,35.0,VRB,17.5,5.28125
2023-01-25,72781524237.0,30.557966101694912,31.0,45.0,0.01,HZ:7 |FU |HZ s,-0.0087499999999999,4.0,56.0,30.594583333333333,VV:09 2,26.43694915254237,0.25,35.0,VRB,17.5,6.327586206896552
2023-01-26,72781524237.0,30.458870967741937,34.0,36.0,0.02,BR:1 ||,0.035,6.125,93.0,30.46772727272727,1,26.348333333333336,10,35.0,VRB,25.6,6.189655172413793
2023-01-27,72781524237.0,30.0796,30.0,32.0,T,|SN |,0.0133333333333333,6.166666666666667,92.0,30.14421052631579,VV:09 2,25.991111111111117,0.25,30.0,VRB,23.0,5.916666666666667
2023-01-28,72781524237.0,29.999186046511632,27.0,30.0,T,FZ:8 FG:2 |FG |,-0.01,4.75,88.0,30.10375,VV:09 2,25.9393023255814,0.5,29.0,VRB,21.33333333333333,2.853333333333333
2023-01-29,72781524237.0,30.24884615384616,3.0,10.0,T,-SN:03 |SN |,-0.01375,3.125,80.0,30.420000000000005,CLR:00,26.157391304347826,10,8.0,0,21.33333333333333,0.9166666666666666
2023-01-30,72781524237.0,30.22125,3.0,21.0,T,-SN:03 |SN |,0.0125,6.125,80.0,30.392916666666668,CLR:00,26.13636363636364,10,18.0,0,21.33333333333333,1.6956521739130437
2023-01-31,72781524237.0,30.08459459459459,13.0,20.0,T,-SN:03 |SN |,0.01375,6.5,85.0,30.191666666666663,OVC:08 30,26.019428571428573,10,18.0,0,21.33333333333333,1.9189189189189189
2023-02-01,72781524237.0,30.045,6.0,28.0,T,-SN:03 BR:1 |SN |,-0.005,4.375,33.0,30.122083333333336,CLR:00,25.98208333333333,10,22.0,0,21.33333333333333,0.625
2023-02-02,72781524237.0,30.0875,17.0,25.0,T,-SN:03 BR:1 |SN |,0.00125,4.375,78.0,30.180833333333336,CLR:00,26.01833333333333,10,23.0,VRB,21.33333333333333,3.5
2023-02-03,72781524237.0,29.9166,30.0,27.0,T,-SN:03 BR:1 |SN |,9.912705577010326e-19,4.571428571428571,89.0,29.99826086956521,BKN:07 100,25.869000000000007,10,32.0,VRB,21.33333333333333,4.095238095238095
2023-02-04,72781524237.0,29.95566371681416,31.0,33.0,T,-SN:03 BR:1 |SN |,0.02375,6.125,92.0,29.976250000000004,VV:09 2,25.90017699115044,0.25,32.0,0,24.916666666666668,1.5555555555555556
2023-02-05,72781524237.0,29.784509803921573,31.0,33.0,0.01,BR:1 ||,-0.03125,3.25,92.0,29.864166666666662,VV:09 2,25.75009803921569,0.5,32.0,VRB,24.916666666666668,4.32183908045977
2023-02-06,72781524237.0,30.237959183673475,30.0,32.0,T,-SN:03 BR:1 |SN |,-0.0175,4.375,92.0,30.3175,VV:09 4,26.152959183673467,0.25,31.0,VRB,24.424242424242426,6.95
2023-02-07,72781524237.0,30.09788461538461,30.0,32.0,T,-SN:03 BR:1 |SN |,0.0142857142857142,6.285714285714286,92.0,30.167826086956524,VV:09 5,26.02875,0.25,31.0,VRB,29.5,5.602409638554217
2023-02-08,72781524237.0,30.283200000000004,25.0,27.0,T,-SN:03 BR:1 |SN |,-0.025,2.125,92.0,30.419583333333332,CLR:00,26.193066666666667,10,27.0,VRB,24.40740740740741,5.85
2023-02-09,72781524237.0,30.188148148148155,24.0,28.0,T,-SN:03 BR:1 |SN |,0.0325,6.875,85.0,30.290833333333328,CLR:00,26.107407407407408,10,27.0,VRB,27.83333333333333,4.0
2023-02-10,72781524237.0,30.10911111111111,31.0,33.0,T,-SN:03 BR:1 |SN |,-0.0062499999999999,4.5,92.0,30.18416666666667,VV:09 2,26.03792592592593,0.25,32.0,0,27.83333333333333,1.2857142857142858
2023-02-11,72781524237.0,30.162972972972973,28.0,30.0,0.03,FZ:8 FG:2 |FG |,-0.0014285714285714,2.4285714285714284,92.0,30.243913043478265,VV:09 2,26.082972972972964,0.25,29.0,VRB,27.83333333333333,4.054054054054054
2023-02-12,72781524237.0,30.000999999999998,34.0,36.0,0.03,BR:1 ||,0.03,6.0,93.0,30.120833333333337,VV:09 2,25.9428,10,35.0,VRB,27.83333333333333,3.787234042553192
2023-02-13,72781524237.0,29.698750000000004,26.0,28.0,0.04,-SN:03 BR:1 |SN |,0.02375,5.0,92.0,29.749166666666667,OVC:08 4,25.67388888888889,0.25,27.0,VRB,29.07894736842105,10.0
2023-02-14,72781524237.0,29.91858208955224,20.0,23.0,0.01,BR:1 ||,-0.05125,1.75,88.0,30.063333333333333,VV:09 2,25.870522388059698,1,22.0,VRB,20.0,4.682926829268292
2023-02-15,72781524237.0,30.175789473684212,17.0,22.0,T,HZ:7 |FU |HZ,0.0016666666666666,3.5,82.0,30.284736842105268,OVC:08 2,26.09578947368421,10,20.0,VRB,20.0,3.649122807017544
2023-02-16,72781524237.0,30.082608695652183,26.0,28.0,T,-SN:03 BR:1 |SN |,0.0085714285714285,5.571428571428571,82.0,30.1786956521739,OVC:08 100,26.014782608695647,10,27.0,0,20.0,0.6956521739130435
2023-02-17,72781524237.0,30.09104347826087,25.0,28.0,T,-SN:03 BR:1 |SN |,0.0024999999999999,5.75,92.0,30.175416666666667,VV:09 4,26.02243478260869,10,27.0,VRB,20.0,4.466666666666667
2023-02-18,72781524237.0,29.99480519480519,30.0,27.0,0.01,-SN:03 FZ:8 FG:2 |FG SN |,-0.0025,4.0,92.0,30.081249999999997,VV:09 2,25.93805194805195,0.25,26.0,VRB,23.09090909090909,7.338235294117647
2023-02-19,72781524237.0,30.055600000000005,31.0,33.0,0.01,-SN:03 BR:1 |SN |,0.0025,4.625,92.0,30.12958333333334,OVC:08 4,25.9916,0.25,32.0,VRB,29.589285714285715,10.371428571428572
2023-02-20,72781524237.0,29.868969072164944,31.0,33.0,0.02,-SN:03 BR:1 |SN |,0.06,5.25,92.0,29.946666666666676,OVC:08 4,25.826494845360827,0.75,32.0,VRB,30.706666666666667,11.333333333333334
2023-02-21,72781524237.0,29.405053763440865,24.0,26.0,T,-SN:03 BR:1 |SN |,0.0175,6.25,92.0,29.478333333333342,VV:09 4,25.412888888888897,10,25.0,VRB,28.20689655172414,7.2465753424657535
2023-02-22,72781524237.0,29.444186046511625,14.0,18.0,T,-SN:03 BR:1 |SN |,-0.01375,1.75,84.0,29.557083333333328,BKN:07 3 OVC:08 21,25.44651162790697,10,17.0,VRB,24.53846153846154,4.458333333333333
2023-02-23,72781524237.0,29.575818181818185,3.0,4.0,0.01,-SN:03 BR:1 |SN |,-0.0325,2.75,83.0,29.8175,CLR:00,25.564000000000004,10,3.0,VRB,24.53846153846154,5.461538461538462
2023-02-24,72781524237.0,29.91541666666667,7.0,2.0,0.01,-SN:03 BR:1 |SN |,-0.01625,3.25,80.0,30.10708333333333,CLR:00,25.867916666666662,10,1.0,0,24.53846153846154,2.1333333333333333
2023-02-25,72781524237.0,29.73130434782609,15.0,19.0,0.01,-SN:03 BR:1 |SN |,0.05125,7.375,81.0,29.864166666666662,CLR:00,25.703478260869563,10,18.0,0,24.53846153846154,2.5217391304347827
2023-02-26,72781524237.0,29.47568965517241,20.0,24.0,0.01,-SN:03 BR:1 |SN |,-0.015,3.125,88.0,29.55,BKN:07 3 OVC:08 10,25.47612068965517,0.5,22.0,VRB,24.53846153846154,4.053191489361702
2023-02-27,72781524237.0,29.40360000000001,19.0,22.0,T,-SN:03 BR:1 |SN |,0.0375,6.5,89.0,29.511250000000004,OVC:08 2,25.41070707070708,3,21.0,VRB,19.857142857142858,2.0985915492957745
2023-02-28,72781524237.0,29.427747747747745,19.0,22.0,0.01,-SN:03 BR:1 |SN |,-0.0357142857142857,2.571428571428572,89.0,29.526956521739127,OVC:08 2,25.3574647887324,10,21.0,VRB,19.857142857142858,3.2524271844660197
2023-03-01,72781524237.0,29.866043956043946,21.0,25.0,T,-SN:03 BR:1 |SN |,-0.03125,2.375,85.0,29.97541666666667,OVC:08 2,25.822527472527483,10.00,24.0,VRB,22.607142857142858,6.583333333333333
