DATE,STATION,DailyAltimeterSetting,DailyDewPointTemperature,DailyDryBulbTemperature,DailyPrecipitation,DailyPresentWeatherType,DailyPressureChange,DailyPressureTendency,DailyRelativeHumidity,DailySeaLevelPressure,DailySkyConditions,DailyStationPressure,DailyVisibility,DailyWetBulbTemperature,DailyWindDirection,DailyWindGustSpeed,DailyWindSpeed
2023-01-01,72790024141,30.094848484848484,26.0,28.545454545454547,0,-SN:03 BR:1 |SN |,-0.0212499999999999,4.25,87.75757575757575,30.141666666666666,OVC:08 10,28.75,10.0,27.51515151515152,320,25.5,5.0
2023-01-02,72790024141,29.956388888888885,26.0,30.166666666666668,0,-SN:03 BR:1 |SN |,0.02875,6.875,83.0,29.976666666666663,OVC:08 15,28.61638888888889,10.0,28.61111111111111,360,25.5,6.0
2023-01-03,72790024141,29.94621621621621,29.0,29.91891891891892,0,BR:1 ||,-0.02125,3.375,89.37837837837837,29.983750000000004,OVC:08 5,28.60648648648649,10.0,28.91891891891892,0,25.5,0.0
2023-01-04,72790024141,29.99142857142857,27.0,33.25,0,-SN:03 |SN |,0.02125,5.875,79.14285714285714,30.035000000000007,OVC:08 70,28.65107142857143,10.0,31.0,360,25.5,13.0
2023-01-05,72790024141,29.7575,28.0,36.333333333333336,0,BR:1 ||,0.0025,4.625,75.29166666666667,29.785416666666663,CLR:00,28.42625,10.0,33.541666666666664,360,25.5,10.0
2023-01-06,72790024141,30.072857142857146,30.0,29.612244897959183,0,BR:1 ||,-0.02875,2.5,92.6938775510204,30.11208333333333,VV:09 2,28.729795918367348,10.0,28.959183673469383,10,25.5,8.0
2023-01-07,72790024141,29.960370370370374,33.0,35.55555555555556,0,-RA:02 |RA |RA,0.0325,7.375,91.77777777777776,29.997083333333336,OVC:08 29,28.62,10.0,34.7037037037037,360,25.5,9.0
2023-01-08,72790024141,29.777083333333334,34.0,33.958333333333336,0,FG:2 |FG |,0.00375,5.0,95.83333333333331,29.784166666666664,VV:09 1,28.445000000000004,0.25,33.666666666666664,0,25.5,7.0
2023-01-09,72790024141,29.722682926829265,31.0,33.7948717948718,0,BR:1 ||,0.01375,4.875,92.7948717948718,29.74318181818182,VV:09 2,28.39073170731708,10.0,33.05128205128205,360,25.5,9.0
2023-01-10,72790024141,29.762857142857136,32.0,34.94285714285714,0,BR:1 ||,-0.00125,3.75,88.77142857142857,29.785,CLR:00,28.432857142857145,10.0,33.77142857142857,360,25.5,7.0
2023-01-11,72790024141,30.02590909090909,33.0,34.79545454545455,0,BR:1 ||,-0.035,1.5,89.95454545454545,30.04125,OVC:08 4,28.686136363636365,10.0,33.77272727272727,360,25.5,7.0
