DATE,STATION,DailyAltimeterSetting,DailyDewPointTemperature,DailyDryBulbTemperature,DailyPrecipitation,DailyPresentWeatherType,DailyPressureChange,DailyPressureTendency,DailyRelativeHumidity,DailySeaLevelPressure,DailySkyConditions,DailyStationPressure,DailyVisibility,DailyWetBulbTemperature,DailyWindDirection,DailyWindGustSpeed,DailyWindSpeed
2023-01-01,72793894274,30.08458333333333,40.0,43,0,FG:2 |FG |,0.00375,4.5,89.0,30.08875,CLR:00,29.74458333333333,10.0,42.0,0,19.75,0.5675675675675675
2023-01-02,72793894274,29.76140350877193,33.0,36,0,BR:1 ||,0.02875,5.5,93.0,29.755,VV:09 2,29.42140350877193,0.25,35.0,0,19.75,2.280701754385965
2023-01-03,72793894274,29.82857142857143,36.0,38,0,-RA:02 BR:1 |RA |RA,-0.0225,3.5,89.0,29.84541666666666,SCT:04 60,29.488571428571426,10.0,37.0,0,19.75,0.4666666666666667
2023-01-04,72793894274,29.712083333333336,31.0,38,0,-RA:02 |RA |RA,0.05125,7.0,76.0,29.715833333333336,CLR:00,29.374166666666667,10.0,41.0,40,19.75,7.705882352941177
2023-01-05,72793894274,29.535,34.0,49,0,-RA:02 |RA |RA,-0.03875,4.0,44.0,29.53458333333333,FEW:02 65 OVC:08 90,29.1975,10.0,48.0,190,24.6,10.318181818181818
2023-01-06,72793894274,29.95407407407408,42.0,45,0,-RA:02 |RA |RA,-0.02,3.875,90.0,29.955,CLR:00,29.614074074074075,10.0,44.0,0,22.0,3.888888888888889
2023-01-07,72793894274,29.80875,43.0,45,0.01,-RA:02 |RA |RA,0.03625,6.5,93.0,29.812916666666663,OVC:08 50,29.46875,10.0,44.0,0,22.0,3.583333333333333
2023-01-08,72793894274,29.645517241379306,41.0,43,0.01,-RA:02 |RA |RA,-0.01375,3.25,93.0,29.662499999999994,OVC:08 50,29.306551724137943,10.0,43.0,0,26.75,5.344827586206897
2023-01-09,72793894274,29.53923076923077,42.0,45,0,-RA:02 |RA |RA,0.0225,4.375,80.0,29.54208333333333,CLR:00,29.201538461538465,10.0,44.0,160,26.2,6.884615384615385
2023-01-10,72793894274,29.617916666666662,41.0,48,0,-RA:02 |RA |RA,-0.0024999999999999,3.625,80.0,29.622083333333336,CLR:00,29.27791666666667,10.0,44.0,0,22.5,5.375
2023-01-11,72793894274,29.835416666666664,38.0,48,0,-RA:02 |RA |RA,-0.02,3.5,68.0,29.838333333333328,CLR:00,29.495416666666667,10.0,44.0,0,22.0,3.583333333333333
2023-01-12,72793894274,29.833666666666662,46.0,48,0.01,-RA:02 |RA |RA,-8.673617379884035e-19,5.5,93.0,29.83583333333333,OVC:08 65,29.493666666666677,10.0,47.0,0,25.125,2.6333333333333333
2023-01-13,72793894274,29.73,46.0,48,T,-RA:02 |RA |RA,0.02125,6.375,93.0,29.72541666666666,OVC:08 70,29.39,10.0,47.0,0,25.125,2.4722222222222223
2023-01-14,72793894274,29.42875,44.0,48,0,-RA:02 |RA |RA,0.045,6.5,90.0,29.429166666666664,CLR:00,29.095416666666665,10.0,47.0,0,25.125,3.8333333333333335
2023-01-15,72793894274,29.378499999999995,43.0,45,T,-RA:02 |RA |RA,-0.02875,3.25,86.0,29.37041666666667,BKN:07 3 OVC:08 70,29.0465,10.0,45.0,190,25.125,7.3076923076923075
2023-01-16,72793894274,29.74230769230769,38.0,43,0,-RA:02 |RA |RA,-0.03625,1.875,83.0,29.736666666666665,OVC:08 40,29.40230769230769,10.0,41.0,200,18.5,7.153846153846154
2023-01-17,72793894274,29.917272727272728,40.0,43,0,-RA:02 |RA |RA,-0.01,4.0,89.0,29.925416666666663,BKN:07 22 BKN:07 29 OVC:08 37,29.577272727272724,10.0,42.0,200,18.5,7.575757575757576
2023-01-18,72793894274,29.906969696969696,39.0,43,0,-RA:02 |RA |RA,-0.02125,4.25,89.0,29.89791666666667,CLR:00,29.566969696969696,10.0,41.0,200,21.285714285714285,9.363636363636363
2023-01-19,72793894274,30.340937500000003,36.0,39,0,BR:1 ||,-0.05,2.0,89.0,30.36583333333333,OVC:08 7,30.0003125,10.0,38.0,0,26.625,1.65625
2023-01-20,72793894274,30.46909090909092,31.0,36,0,BR:1 ||,0.0099999999999999,5.75,89.0,30.48583333333333,CLR:00,30.12618181818181,10.0,34.0,0,26.625,0.4181818181818181
2023-01-21,72793894274,30.246326530612244,34.0,35,0,FG:2 |FG |,0.0212499999999999,5.5,93.0,30.227083333333336,VV:09 2,29.90632653061224,10.0,34.0,0,26.625,4.571428571428571
