STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE.1,SOURCE.1,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,WindEquipmentChangeDate
72787094119,2024-09-01 00:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02,42.0,63.0,0.00,,0.01,6.0,47.0,29.96,FEW:02 110,27.71,10.00,52.0,040,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09909/01/24 00:53:02 METAR KDEW 010853Z 04004KT 10SM FEW110 17/06 A3002 RMK AO2 SLP146 T01720056 56002,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
72787094119,2024-09-01 01:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02,43.0,66.0,0.00,,,,43.0,29.96,CLR:00,27.71,10.00,54.0,360,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09009/01/24 01:53:02 METAR KDEW 010953Z 36005KT 10SM CLR 19/06 A3002 RMK AO2 SLP145 T01890061,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
72787094119,2024-09-01 02:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01,44.0,66.0,0.00,,,,45.0,29.95,FEW:02 110,27.7,10.00,54.0,020,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09309/01/24 02:53:02 METAR KDEW 011053Z 02005KT 10SM FEW110 19/07 A3001 RMK AO2 SLP142 T01890067,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
72787094119,2024-09-01 03:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01,44.0,64.0,0.00,,0.01,5.0,48.0,29.95,CLR:00,27.7,10.00,53.0,010,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10809/01/24 03:53:02 METAR KDEW 011153Z 01005KT 10SM CLR 18/07 A3001 RMK AO2 SLP142 T01780067 10206 20144 55003,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
72787094119,2024-09-01 04:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,42.0,54.0,0.00,,,,64.0,29.96,CLR:00,27.68,10.00,48.0,170,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09009/01/24 04:53:02 METAR KDEW 011253Z 17003KT 10SM CLR 12/06 A3000 RMK AO2 SLP144 T01220056,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
72787094119,2024-09-01 05:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01,43.0,55.0,0.00,,,,64.0,29.97,CLR:00,27.7,10.00,49.0,000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09009/01/24 05:53:02 METAR KDEW 011353Z 00000KT 10SM CLR 13/06 A3001 RMK AO2 SLP148 T01280061,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
72787094119,2024-09-01 06:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02,48.0,65.0,0.00,,-0.01,3.0,54.0,29.98,CLR:00,27.71,10.00,56.0,000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09609/01/24 06:53:02 METAR KDEW 011453Z 00000KT 10SM CLR 18/09 A3002 RMK AO2 SLP152 T01830089 53003,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
72787094119,2024-09-01 07:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02,46.0,76.0,0.00,,,,35.0,29.97,CLR:00,27.71,10.00,59.0,050,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09009/01/24 07:53:02 METAR KDEW 011553Z 05007KT 10SM CLR 24/08 A3002 RMK AO2 SLP150 T02440078,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
72787094119,2024-09-01 08:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01,47.0,80.0,0.00,,,,31.0,29.97,FEW:02 110,27.7,10.00,61.0,360,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09309/01/24 08:53:02 METAR KDEW 011653Z 36004KT 10SM FEW110 27/08 A3001 RMK AO2 SLP150 T02670083,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
72787094119,2024-09-01 09:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,47.0,85.0,0.00,,0.01,8.0,27.0,29.96,BKN:07 110,27.68,10.00,63.0,050,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11109/01/24 09:53:02 METAR KDEW 011753Z 05006KT 10SM BKN110 29/08 A3000 RMK AO2 SLP144 T02940083 10300 20117 58005,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
