STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE.1,SOURCE.1,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,WindEquipmentChangeDate
A0002694297,2024-10-18 07:46:00,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.19,43.0,49.0,,,,,80.0,30.02,BKN:07 21 OVC:08 95,29.97,10.00,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10610/18/24 07:46:02 METAR KNRA 181546Z      KT 10SM BKN021 OVC095 09/06 A3019 RMK AO2 SLP165 T00940061 PNO $,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-22
A0002694297,2024-10-18 10:46:00,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.17,45.0,48.0,,,,,89.0,30.0,OVC:08 85,29.95,10.00,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10510/18/24 10:46:02 METAR KNRA 181846Z      KT 10SM OVC085 09/07 A3017 RMK AO2 RAE35 SLP160 T00890072 PNO $,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-22
A0002694297,2024-10-18 12:46:00,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11,44.0,50.0,,,0.08,8.0,80.0,29.94,FEW:02 21 OVC:08 75,29.89,10.00,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11810/18/24 12:46:02 METAR KNRA 182046Z      KT 10SM FEW021 OVC075 10/07 A3011 RMK AO2 SLP140 6//// T01000067 58027 PNO $,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-22
A0002694297,2024-10-18 13:46:00,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08,43.0,51.0,,,,,74.0,29.91,BKN:07 24 OVC:08 75,29.86,10.00,47.0,VRB,34.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12710/18/24 13:46:02 METAR KNRA 182146Z 15013G30KT 10SM BKN024 OVC075 11/06 A3008 RMK AO2 PK WND 15030/2142 SLP130 T01060061 PNO $,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-22
A0002694297,2024-10-18 14:46:00,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,44.0,51.0,,,,,77.0,29.88,BKN:07 28 OVC:08 75,29.83,10.00,48.0,150,31.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET13810/18/24 14:46:02 METAR KNRA 182246Z 15015G27KT 10SM BKN028 OVC075 11/07 A3005 RMK AO2 PK WND 14032/2148 RAB2149E05 SLP119 T01060067 PNO $,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-22
A0002694297,2024-10-18 15:46:00,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04,44.0,52.0,,-RA:02 |RA |RA,0.07,6.0,75.0,29.87,OVC:08 24,29.82,10.00,48.0,VRB,33.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET15410/18/24 15:46:02 METAR KNRA 182346Z 16011G29KT 10SM -RA OVC024 11/07 A3004 RMK AO2 PK WND 15033/2306 RAB22 SLP114 6//// T01110067 10111 20089 56025 PNO $,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-22
A0002694297,2024-10-18 16:46:00,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02,45.0,52.0,,-RA:02 |RA |RA,,,77.0,29.86,BKN:07 21 BKN:07 50 OVC:08 70,29.8,10.00,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET14610/18/24 16:46:01 METAR KNRA 190046Z      KT 10SM -RA BKN021 BKN050 OVC070 11/07 A3002 RMK AO2 PK WND 17029/2348 RAE2358B31 SLP111 T01110072 PNO $,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-22
A0002694297,2024-10-18 17:46:00,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.03,45.0,51.0,,-RA:02 |RA |RA,,,80.0,29.87,OVC:08 18,29.81,10.00,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11210/18/24 17:46:01 METAR KNRA 190146Z      KT 10SM -RA OVC018 11/07 A3003 RMK AO2 RAE25B45 SLP114 T01060072 PNO $,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-22
A0002694297,2024-10-18 18:46:00,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,47.0,50.0,,-RA:02 |RA |RA,-0.02,3.0,89.0,29.89,BKN:07 17 BKN:07 31 OVC:08 65,29.83,9.00,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12810/18/24 18:46:01 METAR KNRA 190246Z      KT 9SM -RA BKN017 BKN031 OVC065 10/08 A3005 RMK AO2 SLP121 6//// T01000083 53006 PNO $,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-22
A0002694297,2024-10-18 21:46:00,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06,47.0,52.0,,-RA:02 |RA |RA,-0.01,3.0,83.0,29.9,FEW:02 18 OVC:08 65,29.84,10.00,49.0,170,28.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET16610/18/24 21:46:01 METAR KNRA 190546Z 17014G24KT 10SM -RA FEW018 OVC065 11/08 A3006 RMK AO2 PK WND 18026/0530 RAE0447B43 SLP124 6//// T01110083 10111 20100 53003 PNO $,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-22
